title,views,likes,comments,published,videoId,url
"""박성웅이 거짓말할 이유가?"".. 임성근 '또 징역' 당혹 #Shorts (MBC뉴스)",628770,20192,1523,2026-06-11T08:55:22Z,bH5qI8E8XzE,https://www.youtube.com/watch?v=bH5qI8E8XzE
'준비자세' 하다 앞만 보고.. '날벼락 사고' 통화해보니 #Shorts (MBC뉴스),626697,11817,2596,2026-06-18T06:48:54Z,HuMQDZEkmz4,https://www.youtube.com/watch?v=HuMQDZEkmz4
"[뉴스 '꾹'] 촬영 끝나자 ""My Wife"", 트럼프 반응 봤더니.. (2026.06.17/MBC뉴스)",609243,9162,1435,2026-06-17T00:27:02Z,3lu37GtE-ZY,https://www.youtube.com/watch?v=3lu37GtE-ZY
미국이 전쟁 일으키고는‥'이란 재건' 450조는 한국 등이 맡아라? (2026.06.17/뉴스데스크/MBC),593044,4514,3632,2026-06-17T11:44:27Z,e8-EImKVZvI,https://www.youtube.com/watch?v=e8-EImKVZvI
"10년 만에 만난 '오뎅남' ""후회요? 딱 하나 있는데.."" [뉴스.zip/MBC뉴스]",584938,6770,3988,2026-06-20T07:00:12Z,jLLUjdzcMd8,https://www.youtube.com/watch?v=jLLUjdzcMd8
"[속보] 특검, '명태균 여론조사비 대납 의혹' 오세훈 서울시장 징역 1년 6개월 구형 - [MBC 뉴스속보] MBC뉴스 2026년 06월 17일",573332,10063,272,2026-06-18T00:25:29Z,71W5cxKWK6c,https://www.youtube.com/watch?v=71W5cxKWK6c
"당근 나오셨죠?..""근데 긴급체포합니다"" (2026.06.11/뉴스데스크/MBC)",569973,4920,1887,2026-06-11T11:40:04Z,clNYJlIH238,https://www.youtube.com/watch?v=clNYJlIH238
"'대오열' 박성재 사과에도.. ""진정성 없어"" 자른 이유 [뉴스.zip/MBC뉴스]",569947,19306,2500,2026-06-22T07:58:37Z,ONvL5g1CRow,https://www.youtube.com/watch?v=ONvL5g1CRow
헬스 트레이너랑 짜고 '자작극'?‥아빠 병원도 수사 (2026.06.18/뉴스데스크/MBC),555586,7757,4414,2026-06-18T11:51:29Z,4vSNCsfH6rs,https://www.youtube.com/watch?v=4vSNCsfH6rs
'두번 속겠냐' 등돌린 미국..무너진 네타냐후 '멘붕' [뉴스.zip/MBC뉴스],554729,4849,706,2026-06-23T23:43:22Z,r1PBnM0YxM8,https://www.youtube.com/watch?v=r1PBnM0YxM8
"""이 대통령은 강한 지도자""..90분 만찬하며 '셀카' #Shorts (MBC뉴스)",552987,32831,1256,2026-06-18T01:30:53Z,xaRZwZ6g7pw,https://www.youtube.com/watch?v=xaRZwZ6g7pw
"""반려동물 수영장 공사 중단""‥ 환경청 조사 착수 (2026.06.17/뉴스데스크/제주MBC)",532213,6911,4671,2026-06-18T03:00:23Z,UFbq62H6m0M,https://www.youtube.com/watch?v=UFbq62H6m0M
"[오늘 이 뉴스] '이게 순한 영상' 체육회 틀자, ""미쳤네 이XX"" 아수라장 (2026.06.15/MBC뉴스)",526923,8096,2784,2026-06-15T08:52:38Z,BbdMLmzI6eI,https://www.youtube.com/watch?v=BbdMLmzI6eI
[단독] '갤럭시' 휴대폰 충전 중 화재‥ 이틀 새 두 건 (2026.06.19/뉴스데스크/MBC충북),523589,4399,3109,2026-06-20T06:00:34Z,lXvjeTV3F5U,https://www.youtube.com/watch?v=lXvjeTV3F5U
무성했던 소문 '진짜였다'..경영진 빼고 다 '부글' [뉴스.zip/MBC뉴스],521119,4947,1281,2026-06-19T22:30:16Z,GWnAXmNF3Qc,https://www.youtube.com/watch?v=GWnAXmNF3Qc
[자막뉴스] 정조준 준비 '가방 풀스윙'.. 출근중 터진 결정적 한방 (2026.06.24/MBC뉴스),514464,4631,1018,2026-06-24T02:22:11Z,f84hgBinCbM,https://www.youtube.com/watch?v=f84hgBinCbM
"주한미군 폭행 '거구 미국인', 경찰한테 잡히자 오열? #Shorts (MBC뉴스)",500683,7321,801,2026-06-23T09:41:30Z,s9oYZ8ahuqQ,https://www.youtube.com/watch?v=s9oYZ8ahuqQ
